distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2316	R1-002	13	2.0A	C3	5	4	Ciudad Real	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44359,44592,45390,45529
2316	R1-002	15	2.0A	C3	5	2	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44941,45912
2316	R1-002	15	2.0DHA	C3	5	1	A Coruña	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44972
2316	R1-002	28	2.0A	C3	5	22	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44506,44512,44518,44553,44557,44561,44619,44693,45022,45026,45049,45071,45453,45467,45480,45481,45487,45544,45907,45927,46020,46082
2316	R1-002	28	2.0A	C4	5	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	46327
2316	R1-002	28	2.0DHA	C3	5	4	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44513,44663,45409,45975
2316	R1-002	28	3.0A	C3	4	1	Madrid	UNIÓN FENOSA DISTRIBUCIÓN S.A.	45376
2316	R1-002	36	2.0A	C3	5	2	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44522,45034
2316	R1-002	36	2.0DHA	C3	5	1	Pontevedra	UNIÓN FENOSA DISTRIBUCIÓN S.A.	45033
2316	R1-002	49	2.0A	C3	5	1	Zamora	UNIÓN FENOSA DISTRIBUCIÓN S.A.	44601
2316	R1-002	49	2.0A	C4	5	1	Zamora	UNIÓN FENOSA DISTRIBUCIÓN S.A.	45131
