distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
2326	R1-015	17	2.1A	C3	5	1	0	0	1	0.0	0.0	303.0	0	0	0	Girona	BASSOLS ENERGÍA, S.A.	22623	True
2329	R1-016	08	2.0A	C3	5	1	0	0	1	0.0	0.0	172.0	0	0	0	Barcelona	ELECTRA CALDENSE, S.A.	31514	True
2329	R1-016	08	2.0DHA	C3	5	2	0	0	2	0.0	0.0	840.0	0	0	0	Barcelona	ELECTRA CALDENSE, S.A.	14271,16431	True
2360	R1-107	08	3.0A	C3	4	1	0	0	1	0.0	0.0	543.0	0	0	0	Barcelona	DISTRIBUIDORA DE ENERGIA ELECTRICA DEL BAGES, S.A.	7504	True
2402	R1-062	17	2.0A	C3	5	8	0	0	8	0.0	0.0	4704.0	0	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	568,1448,3765,4151,5500,9125,11984,13383	True
2402	R1-062	17	2.0DHA	C3	5	1	0	0	1	0.0	0.0	420.0	0	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	15302	True
2402	R1-062	17	3.0A	C3	4	1	0	0	1	0.0	0.0	620.0	0	0	0	Girona	SUMINISTRO DE LUZ Y FUERZA, S.L.	3684	True
2406	R1-008	33	2.0A	C3	5	2	0	0	2	0.0	0.0	57.0	0	0	0	Asturias	DISTRIBUCIÓN CANTÁBRICO	40590,40963	True
2406	R1-008	33	2.0DHA	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Asturias	DISTRIBUCIÓN CANTÁBRICO	42373	True
2437	R1-005	39	2.0A	C3	5	3	1	0	2	4.0	0.0	78.0	0	0	0	Cantabria	E.ON DISTRIBUCION S.L.	40159,40161,42425	True
2437	R1-005	39	2.0DHA	C3	5	2	0	2	0	0.0	22.0	0.0	0	0	0	Cantabria	E.ON DISTRIBUCION S.L.	42027,42075	True
2505	R1-232	31	2.0A	C3	5	1	0	1	0	0.0	11.0	0.0	0	0	0	Navarra	Electra Valdizarbe, S.A.	41953	True
