distriid	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nreq	nomprovincia	distriname	casos
2280	R1-001	42	2.0A	C3	5	2	Soria	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9046,9183
2280	R1-001	45	2.0A	C3	5	8	Toledo	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7566,7567,7641,8088,9082,9140,9310,9367
2280	R1-001	46	2.0A	C3	5	80	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7398,7400,7419,7442,7443,7459,7523,7640,7643,7855,7894,7937,7955,7966,7968,8003,8009,8010,8020,8025,8026,8028,8029,8040,8046,8087,8328,8342,8373,8421,8425,8445,8455,8458,8460,8469,8474,8475,8484,8508,8512,8535,8558,8563,8584,8591,8639,9023,9051,9085,9095,9102,9112,9131,9155,9179,9215,9221,9239,9254,9275,9284,9343,9347,9349,9352,9354,9363,9368,9374,9375,9380,9381,9390,9400,9401,9403,9406,9569,9570
2280	R1-001	46	2.0DHA	C3	5	4	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7729,9344,9345,9351
2280	R1-001	46	2.1A	C3	5	1	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7982
2280	R1-001	46	2.1DHA	C3	5	4	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7996,9163,9201,9361
2280	R1-001	46	3.0A	C3	4	2	València	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7868,8548
2280	R1-001	47	2.0A	C3	5	4	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8375,8377,8556,9097
2280	R1-001	47	2.0DHA	C3	5	1	Valladolid	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7449
2280	R1-001	48	2.0A	C3	5	18	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7642,7964,7965,8078,8193,8318,8330,8343,8366,8400,8516,8590,9028,9031,9283,9366,9370,9378
2280	R1-001	48	2.0DHA	C3	5	4	Bizkaia	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7590,7845,8517,9029
2280	R1-001	49	2.0DHA	C3	5	1	Zamora	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9050
4562	R1-052	17	2.0A	C3	5	1	Girona	LERSA ELECTRICITAT, S.L.	7563
7118	R1-202	25	2.0DHA	C3	5	1	Lleida	MOLINO VIEJO DE VILALLER, S.A.	7483
