distri	refdistribuidora	codiprovincia	tarname	tipocambio	tipopunto	nprocessos	ontime	late	verylate	ontimeaddedtime	lateaddedtime	verylateaddedtime	ontimeissues	lateissues	verylateissues	nomprovincia	nomdistribuidora	casos	bool
2273	0031	41	2.0A	C3	5	14	2	3	9	5.0	43.0	1311.0	0	0	0	Sevilla	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	389,700,1444,1832,2845,3002,3115,3319,5066,8023,8274,8611,9279,9565	True
2273	0031	42	2.0A	C3	5	1	0	0	1	0.0	0.0	95.0	0	0	0	Soria	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4039	True
2273	0031	43	2.0A	C3	5	75	17	7	51	38.0	98.0	4310.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	399,414,512,545,552,664,724,742,828,951,1739,1784,2765,3494,3648,4077,4079,4569,5045,5060,5156,5609,5661,5671,5779,5996,6094,6108,6529,6668,6775,6781,6824,6867,6936,6952,7001,7023,7035,7042,7107,7141,7142,7427,7439,7490,7519,7538,7553,7558,7598,7844,7973,7974,8438,8506,8515,8579,9039,9041,9059,9193,9207,9244,9255,9435,9436,9478,9480,9512,9520,9536,9537,9546,9564	True
2273	0031	43	2.0DHA	C3	5	2	1	1	0	4.0	11.0	0.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	8485,9129	True
2273	0031	43	2.1A	C3	5	3	1	1	1	1.0	18.0	38.0	0	0	0	Tarragona	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6887,8013,9560	True
2273	0031	44	2.0A	C3	5	7	2	2	3	6.0	22.0	208.0	0	0	0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	5053,5054,5963,8358,8449,9216,9311	True
2273	0031	44	2.1DHA	C3	5	1	0	0	1	0.0	0.0	25.0	0	0	0	Teruel	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7570	True
2273	0031	46	2.0A	C3	5	1	0	0	1	0.0	0.0	25.0	0	0	0	València	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	7618	True
2273	0031	50	2.0A	C3	5	37	5	13	19	17.0	157.0	1167.0	0	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	1502,2712,3365,5059,5149,5158,5219,5762,5877,6078,6366,6723,6953,7005,7045,7441,7511,7515,7520,7919,7994,8362,8389,8392,8399,8439,8488,8491,8511,8521,8543,8544,9194,9202,9204,9208,9425	True
2273	0031	50	2.0DHA	C3	5	2	1	0	1	4.0	0.0	79.0	0	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	4857,9128	True
2273	0031	50	2.1DHA	C3	5	1	0	0	1	0.0	0.0	46.0	0	0	0	Zaragoza	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	6424	True
2273	0031	None	2.0A	C3	5	1	0	0	1	0.0	0.0	213.0	0	0	0	None	ENDESA DISTRIBUCIÓN ELÉCTRICA S. L.	483	True
2280	0021	01	2.0A	C3	5	2	0	2	0	0.0	22.0	0.0	0	0	0	Araba	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8442,8479	True
2280	0021	02	2.0A	C3	5	2	1	0	1	1.0	0.0	38.0	0	0	0	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6825,9364	True
2280	0021	02	2.0DHA	C3	5	1	0	0	1	0.0	0.0	25.0	0	0	0	Albacete	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7636	True
2280	0021	03	2.0A	C3	5	28	11	11	6	32.0	163.0	266.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4322,6133,6502,7468,7471,7550,7903,7904,7970,7987,7990,8021,8353,8381,8420,8503,8529,8845,9120,9122,9138,9139,9168,9280,9355,9356,9373,9392	True
2280	0021	03	2.0DHA	C3	5	3	2	0	1	8.0	0.0	38.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6880,9164,9167	True
2280	0021	03	2.1A	C3	5	2	0	0	2	0.0	0.0	186.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4301,4302	True
2280	0021	03	2.1DHA	C3	5	1	1	0	0	1.0	0.0	0.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9386	True
2280	0021	03	3.0A	C3	4	3	0	0	3	0.0	0.0	260.0	0	0	0	Alacant	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	3607,4340,5720	True
2280	0021	05	2.0A	C3	5	1	0	1	0	0.0	18.0	0.0	0	0	0	Avila	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8034	True
2280	0021	09	2.0A	C3	5	5	2	1	2	5.0	18.0	57.0	0	0	0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7075,7601,8064,9281,9383	True
2280	0021	09	2.0DHA	C3	5	1	1	0	0	1.0	0.0	0.0	0	0	0	Burgos	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9382	True
2280	0021	10	2.0A	C3	5	2	1	1	0	1.0	18.0	0.0	0	0	0	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8090,9393	True
2280	0021	10	2.0DHA	C3	5	1	1	0	0	1.0	0.0	0.0	0	0	0	Cáceres	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9407	True
2280	0021	12	2.0A	C3	5	13	4	7	2	10.0	91.0	98.0	0	0	0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	5620,6695,7888,7975,8394,8413,8430,8468,8536,9088,9160,9358,9388	True
2280	0021	12	2.0DHA	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9243	True
2280	0021	12	2.1DHA	C3	5	1	0	0	1	0.0	0.0	32.0	0	0	0	Castelló	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6949	True
2280	0021	16	2.0A	C3	5	5	2	3	0	8.0	54.0	0.0	0	0	0	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7837,7838,7839,9055,9190	True
2280	0021	16	2.0DHA	C3	5	1	1	0	0	4.0	0.0	0.0	0	0	0	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	9075	True
2280	0021	16	2.1DHA	C3	5	1	0	1	0	0.0	18.0	0.0	0	0	0	Cuenca	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7946	True
2280	0021	19	2.0A	C3	5	5	2	2	1	5.0	36.0	87.0	0	0	0	Guadalajara	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	4412,7887,7895,9153,9353	True
2280	0021	20	2.0A	C3	5	1	0	1	0	0.0	9.0	0.0	0	0	0	Gipuzkoa	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8643	True
2280	0021	24	2.0A	C3	5	2	0	1	1	0.0	11.0	101.0	0	0	0	León	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	3764,8518	True
2280	0021	26	2.0A	C3	5	8	2	2	4	2.0	29.0	176.0	0	0	0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	6411,6497,6537,6734,7925,8339,9359,9399	True
2280	0021	26	2.0DHA	C3	5	1	0	1	0	0.0	18.0	0.0	0	0	0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	7836	True
2280	0021	26	2.1A	C3	5	1	0	1	0	0.0	11.0	0.0	0	0	0	La Rioja	IBERDROLA DISTRIBUCIÓN ELÉCTRICA, S.A.U	8338	True
